epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,10151.6,0.49133,0.74706,0.39375,0.86527,0,0.91757,0.9885,0.94407,0.85648,0.91757,0.9885,0.94407,0.81229,0.43934,0.75817,0.28848,0.85208,0,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,10369.2,0.48752,0.7534,0.40066,0.86744,0,0.92637,0.99037,0.94527,0.86069,0.92637,0.99037,0.94527,0.81498,0.43974,0.75776,0.28406,0.84779,0,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,10586.8,0.48942,0.75089,0.4021,0.86789,0,0.92851,0.9902,0.94206,0.85904,0.92851,0.9902,0.94206,0.81747,0.43237,0.75254,0.28173,0.84594,0,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,10801.8,0.48429,0.74268,0.38627,0.86319,0,0.92728,0.98729,0.94452,0.85843,0.92728,0.98729,0.94452,0.81407,0.44032,0.75853,0.28031,0.85027,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,11017,0.47722,0.72759,0.38683,0.86125,0,0.92715,0.9897,0.94395,0.86089,0.92646,0.989,0.94329,0.81838,0.4337,0.75338,0.27735,0.84986,0,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,11235.9,0.48109,0.74335,0.38654,0.86317,0,0.9306,0.98876,0.94489,0.8588,0.9299,0.98805,0.9443,0.81914,0.43674,0.76435,0.27543,0.84926,0,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
52,11457.5,0.47946,0.7319,0.38527,0.86505,0,0.92533,0.99473,0.94628,0.86459,0.92533,0.99473,0.94628,0.82154,0.42864,0.7482,0.27317,0.84271,0,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
53,11679.1,0.47985,0.73395,0.38803,0.86532,0,0.92539,0.98869,0.94408,0.86222,0.92539,0.98869,0.94408,0.82101,0.43011,0.76319,0.27776,0.84436,0,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
54,11902,0.47441,0.72689,0.38118,0.86382,0,0.92659,0.99146,0.94255,0.86096,0.92659,0.99146,0.94255,0.81617,0.42507,0.74606,0.27088,0.84338,0,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
55,12126.8,0.47588,0.7272,0.38318,0.86017,0,0.92668,0.9898,0.9477,0.8657,0.92668,0.9898,0.9477,0.82492,0.42361,0.72264,0.27275,0.84064,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
